etID  | Input | Popular Latin | Old Spanish | Middle Spanish | Output {GOLD}
139    | #fˈoweɑ# | *#fˈoweɑ# | *#ɸˈojɑ# | *#ˈoʝɑ# | *#ˈoʝɑ# {GOLD: #oʝɑ#}
140    | #fˈoːrmɑ# | *#fˈoːrmɑ# | *#ɸˈoɾmɑ# | *#ˈoɾmɑ# | *#ˈoɾmɑ# {GOLD: #ˈoɾmɑ#}
141    | #fˈun̪d̪um# | *#fˈun̪d̪um# | *#ɸˈon̪d̪o# | *#ˈon̪d̪o# | *#ˈon̪d̪o# {GOLD: #fˈon̪d̪o#}
142    | #fˈun̪d̪ɑm# | *#fˈun̪d̪ɑm# | *#ɸˈon̪d̪ɑ# | *#ˈon̪d̪ɑ# | *#ˈon̪d̪ɑ# {GOLD: #ˈon̪d̪ɑ#}
143    | #ˌɑd̪fˌun̪d̪ˈɑːre# | *#ˌɑd̪fˌun̪d̪ˈɑːre# | *#ˌɑɸˌon̪d̪ˈɑɾe# | *#ˌɑˌon̪d̪ˈɑɾ# | *#ɑon̪d̪ˈɑɾ# {GOLD: #ɑon̪d̪ˈɑɾ#}
144    | #fˈun̪ɡum# | *#fˈun̪ɡum# | *#ɸˈon̪ɡo# | *#ˈon̪ɡo# | *#ˈon̪ɡo# {GOLD: #ˈon̪ɡo#}
145    | #fˈurkɑm# | *#fˈurkɑm# | *#ɸˈoɾkɑ# | *#ˈoɾkɑ# | *#ˈoɾkɑ# {GOLD: #ˈoɾkɑ#}
146    | #fˈurn̪um# | *#fˈurn̪um# | *#ɸˈoɾn̪o# | *#ˈoɾn̪o# | *#ˈoɾn̪o# {GOLD: #ˈoɾn̪o#}
147    | #fˌurn̪ˈɑkeum# | *#fˌurn̪ˈɑkeum# | *#ɸˌoɾn̪ˈɑd͡zo# | *#ˌoɾn̪ˈɑs̪o# | *#oɾn̪ˈɑθo# {GOLD: #oɾn̪ˈɑθo#}
148    | #fˌurn̪ˈɑːrium# | *#fˌurn̪ˈɑːrium# | *#ɸˌoɾn̪ˈɑjɾo# | *#ˌoɾn̪ˈeɾo# | *#oɾn̪ˈeɾo# {GOLD: #oɾnˈeɾo#}
149    | #fˈuskum# | *#fˈuskum# | *#ɸˈosko# | *#ˈosko# | *#ˈosko# {GOLD: #ˈosko#}
150    | #fˈuːmum# | *#fˈuːmum# | *#ɸˈumo# | *#ˈumo# | *#ˈumo# {GOLD: #ˈumo#}
151    | #fˈuːrt̪um# | *#fˈuːrt̪um# | *#ɸˈuɾt̪o# | *#ˈuɾt̪o# | *#ˈuɾt̪o# {GOLD: #ˈuɾt̪o#}
152    | #fˈuːsum# | *#fˈuːsum# | *#ɸˈuzo# | *#ˈuso# | *#ˈuso# {GOLD: #ˈuso#}
153    | #fˈɑːbulɑm# | *#fˈɑːbulɑm# | *#ɸˈɑbʎɑ# | *#ˈɑblɑ# | *#ˈɑblɑ# {GOLD: #ˈɑblɑ#}
154    | #fˈɑːt̪ɑm# | *#fˈɑːt̪ɑm# | *#ɸˈɑd̪ɑ# | *#ˈɑd̪ɑ# | *#ˈɑd̪ɑ# {GOLD: #ˈɑd̪ɑ#}
155    | #fˈɑːt̪um# | *#fˈɑːt̪um# | *#ɸˈɑd̪o# | *#ˈɑd̪o# | *#ˈɑd̪o# {GOLD: #ˈɑd̪o#}
156    | #fˈɑbɑm# | *#fˈɑbɑm# | *#ɸˈɑbɑ# | *#ˈɑbɑ# | *#ˈɑbɑ# {GOLD: #ˈɑbɑ#}
157    | #fˈae̯kem# | *#fˈae̯kem# | *#ɸjˈed͡ze# | *#ʝˈes̪# | *#ʝˈeθ# {GOLD: #ˈeθ#}
158    | #fˌɑkˈen̪d̪ɑ# | *#fˌɑkˈen̪d̪ɑ# | *#ɸˌɑd͡zjˈen̪d̪ɑ# | *#ˌɑs̪jˈen̪d̪ɑ# | *#ɑθjˈen̪d̪ɑ# {GOLD: #ɑθjˈen̪d̪ɑ#}
159    | #fˌɑkˈeːre# | *#fˌɑkˈeːre# | *#ɸˌɑd͡zˈeɾe# | *#ˌɑs̪ˈeɾ# | *#ɑθˈeɾ# {GOLD: #ɑθˈeɾ#}
160    | #fˌɑkiˈɑːriɑ# | *#fˌɑkiˈɑːriɑ# | *#ɸˌɑd͡zˈɑjɾɑ# | *#ˌɑs̪ˈeɾɑ# | *#ɑθˈeɾɑ# {GOLD: #ɑθˈeɾɑ#}
161    | #fˈɑkieˌɑd̪# | *#fˈɑkieˌɑd̪# | *#ɸˈɑjt͡sˌɑ# | *#ˈes̪ˌɑ# | *#ˈeθɑ# {GOLD: #ˈɑθjɑ#}
162    | #fˈɑkiem# | *#fˈɑkiem# | *#ɸˈɑd͡ze# | *#ˈɑs̪# | *#ˈɑθ# {GOLD: #ˈɑθ#}
163    | #fˈɑkit̪# | *#fˈɑkit̪# | *#ɸˈɑd͡ze# | *#ˈɑs̪# | *#ˈɑθ# {GOLD: #ˈɑθe#}
164    | #fˈɑkt̪um# | *#fˈɑkt̪um# | *#ɸˈɑjt̪o# | *#ˈet͡ʃo# | *#ˈet͡ʃo# {GOLD: #ˈet͡ʃo#}
165    | #fˈɑkt̪ɑm# | *#fˈɑkt̪ɑm# | *#ɸˈɑjt̪ɑ# | *#ˈet͡ʃɑ# | *#ˈet͡ʃɑ# {GOLD: #fˈet͡ʃɑ#}
166    | #fˈɑkulɑm# | *#fˈɑkulɑm# | *#ɸˈɑʎɑ# | *#ˈɑʃɑ# | *#ˈɑxɑ# {GOLD: #ˈɑt͡ʃɑ#}
167    | #fˈɑɡeɑ# | *#fˈɑɡeɑ# | *#ɸˈɑjɑ# | *#ˈɑʝɑ# | *#ˈɑʝɑ# {GOLD: #ˈɑʝɑ#}
168    | #fˈɑlkem# | *#fˈɑlkem# | *#ɸˈɑwt͡se# | *#ˈos̪# | *#ˈoθ# {GOLD: #ˈoθ#}
169    | #fˈɑwkem# | *#fˈɑwkem# | *#ɸˈɑwt͡se# | *#ˈos̪# | *#ˈoθ# {GOLD: #ˈoθ#}
170    | #fˌɑlkˈoːn̪em# | *#fˌɑlkˈoːn̪em# | *#ɸˌɑwkˈon̪e# | *#ˌokˈon̪# | *#okˈon̪# {GOLD: #ɑlkˈon̪#}
171    | #fˈɑld̪ɑm# | *#fˈɑl̪d̪ɑm# | *#ɸˈɑwd̪ɑ# | *#ˈod̪ɑ# | *#ˈod̪ɑ# {GOLD: #ˈɑld̪ɑ#}
172    | #fˈɑmin̪em# | *#fˈɑmin̪em# | *#ɸˈɑmen̪e# | *#ˈɑmbɾe# | *#ˈɑmbɾe# {GOLD: #ˈɑmbɾe#}
173    | #fˈɑrt̪um# | *#fˈɑrt̪um# | *#ɸˈɑɾt̪o# | *#ˈɑɾt̪o# | *#ˈɑɾt̪o# {GOLD: #ˈɑɾt̪o#}
174    | #fˈɑskem# | *#fˈɑskem# | *#ɸˈɑst͡se# | *#ˈɑs̪e# | *#ˈɑθe# {GOLD: #ˈɑθ#}
175    | #fˈɑskeːs# | *#fˈɑskeːs# | *#ɸˈɑst͡ses# | *#ˈɑs̪es# | *#ˈɑθes# {GOLD: #ˈɑθes#}
176    | #fˈɑskiɑm# | *#fˈɑskiɑm# | *#ɸˈɑst͡sɑ# | *#ˈɑs̪ɑ# | *#ˈɑθɑ# {GOLD: #ˈɑθɑ#}
177    | #fˈɑːɡeɑm# | *#fˈɑːɡeɑm# | *#ɸˈɑjɑ# | *#ˈɑʝɑ# | *#ˈɑʝɑ# {GOLD: #ˈɑʝɑ#}
178    | #fˌebruˈɑːrium# | *#fˌebruˈɑːrium# | *#ɸˌebɾwˈɑjɾo# | *#ˌibɾˈeɾo# | *#ibɾˈeɾo# {GOLD: #ebɾˈeɾo#}
179    | #fˌen̪d̪ˈeːre# | *#fˌen̪d̪ˈeːre# | *#ɸˌen̪d̪ˈeɾe# | *#ˌen̪d̪ˈeɾ# | *#en̪d̪ˈeɾ# {GOLD: #en̪d̪ˈeɾ#}
180    | #fˌen̪ˈiːlem# | *#fˌen̪ˈiːlem# | *#ɸˌen̪ˈile# | *#ˌen̪ˈil# | *#en̪ˈil# {GOLD: #en̪ˈil#}
181    | #fˌerˈiːre# | *#fˌerˈiːre# | *#ɸˌeɾˈiɾe# | *#ˌeɾˈiɾ# | *#eɾˈiɾ# {GOLD: #eɾˈiɾ#}
182    | #fˌermˈen̪t̪um# | *#fˌermˈen̪t̪um# | *#ɸˌeɾmjˈen̪t̪o# | *#ˌiɾmjˈen̪t̪o# | *#iɾmjˈen̪t̪o# {GOLD: #eɾmjˈen̪t̪o#}
183    | #fˌerrɑːmˈen̪t̪ɑ# | *#fˌerrɑːmˈen̪t̪ɑ# | *#ɸˌerɑmjˈen̪t̪ɑ# | *#ˌerɑmjˈen̪t̪ɑ# | *#erɑmjˈen̪t̪ɑ# {GOLD: #erɑmjˈen̪t̪ɑ#}
184    | #fˌerrˈɑːre# | *#fˌerrˈɑːre# | *#ɸˌerˈɑɾe# | *#ˌerˈɑɾ# | *#erˈɑɾ# {GOLD: #erˈɑɾ#}
185    | #fˌerrˈɑːrium# | *#fˌerrˈɑːrium# | *#ɸˌerˈɑjɾo# | *#ˌerˈeɾo# | *#erˈeɾo# {GOLD: #erˈeɾo#}
186    | #fˌerrˈuːmin̪e# | *#fˌerrˈuːmin̪e# | *#ɸˌerˈumen̪e# | *#ˌerˈumbɾe# | *#erˈumbɾe# {GOLD: #erˈumbɾe#}
187    | #fˌerwˈen̪t̪em# | *#fˌerwˈen̪t̪em# | *#ɸˌeɾvjˈen̪t̪e# | *#ˌiɾbjˈen̪t̪e# | *#iɾbjˈen̪t̪e# {GOLD: #iɾbjˈen̪t̪e#}
188    | #fˌerwˈeːre# | *#fˌerwˈeːre# | *#ɸˌeɾvˈeɾe# | *#ˌeɾbˈeɾ# | *#eɾbˈeɾ# {GOLD: #eɾbˈiɾ#}
189    | #fˌeːn̪ˈiːle# | *#fˌeːn̪ˈiːle# | *#ɸˌen̪ˈile# | *#ˌen̪ˈil# | *#en̪ˈil# {GOLD: #enˈil#}
190    | #fˌeːn̪ˈukulum# | *#fˌeːn̪ˈukulum# | *#ɸˌen̪ˈuʎo# | *#ˌen̪ˈuʃo# | *#en̪ˈuxo# {GOLD: #in̪ˈoxo#}
191    | #fˌeːt̪ˈeːre# | *#fˌeːt̪ˈeːre# | *#ɸˌed̪ˈeɾe# | *#ˌed̪ˈeɾ# | *#ed̪ˈeɾ# {GOLD: #ed̪ˈeɾ#}
192    | #fˌiːbˈellɑm# | *#fˌiːbˈellɑm# | *#ɸˌibjˈellɑ# | *#ˌibˈiʎɑ# | *#ibˈiʝɑ# {GOLD: #ebˈiʝɑ#}
193    | #fˌid̪ˈeːlem# | *#fˌid̪ˈeːlem# | *#ɸˌeˈele# | *#ˌeˈel# | *#eˈel# {GOLD: #fjˈel#}
194    | #fˌid̪eːlit̪ˈɑːt̪em# | *#fˌid̪eːlit̪ˈɑːt̪em# | *#ɸˌed̪ʎt̪ˈɑd̪e# | *#ˌed̪t̪ˈɑd̪# | *#ed̪t̪ˈɑd̪# {GOLD: #fjeld̪ˈɑd̪#}
195    | #fˌikˈɑːt̪um# | *#fˌikˈɑːt̪um# | *#ɸˌeɡˈɑd̪o# | *#ˌeɡˈɑd̪o# | *#eɡˈɑd̪o# {GOLD: #iɡˈɑd̪o#}
196    | #fˌiːliˈɑst̪rum# | *#fˌiːliˈɑst̪rum# | *#ɸˌiʎˈɑs̪t̪ɾo# | *#ˌiʃˈɑst̪ɾo# | *#ixˈɑst̪ɾo# {GOLD: #ixˈɑst̪ɾo#}
197    | #fˌiːliˈolum# | *#fˌiːliˈolum# | *#ɸˌiʎwˈelo# | *#ˌiʃwˈelo# | *#ixwˈelo# {GOLD: #ixwˈelo#}
198    | #fˌilikˈɑriɑ# | *#fˌilikˈɑriɑ# | *#ɸˌeleɡˈɑjɾɑ# | *#ˌelɡˈeɾɑ# | *#elɡˈeɾɑ# {GOLD: #elɡˈeɾɑ#}
199    | #fˌilˈikt̪um# | *#fˌilˈikt̪um# | *#ɸˌelˈejt̪o# | *#ˌelˈet͡ʃo# | *#elˈet͡ʃo# {GOLD: #elˈet͡ʃo#}
200    | #fˌiːkˈɑːriɑ# | *#fˌiːkˈɑːriɑ# | *#ɸˌiɡˈɑjɾɑ# | *#ˌiɡˈeɾɑ# | *#iɡˈeɾɑ# {GOLD: #iɡˈeɾɑ#}
201    | #fˌiːlˈɑːkeɑm# | *#fˌiːlˈɑːkeɑm# | *#ɸˌilˈɑd͡zɑ# | *#ˌilˈɑs̪ɑ# | *#ilˈɑθɑ# {GOLD: #ilˈɑθɑ#}
202    | #fˌiːlˈɑːre# | *#fˌiːlˈɑːre# | *#ɸˌilˈɑɾe# | *#ˌilˈɑɾ# | *#ilˈɑɾ# {GOLD: #ilˈɑɾ#}
203    | #ˌɑd̪fˌiːlˈɑːre# | *#ˌɑd̪fˌiːlˈɑːre# | *#ˌɑɸʎˈɑɾe# | *#ˌɑʎˈɑɾ# | *#ɑʝˈɑɾ# {GOLD: #ɑilˈɑɾ#}
204    | #fˌiːlˈiolum# | *#fˌiːlˈiolum# | *#ɸˌiʎwˈelo# | *#ˌiʃwˈelo# | *#ixwˈelo# {GOLD: #ixwˈelo#}
205    | #fˌiːn̪ɡikˈɑːre# | *#fˌiːn̪ɡikˈɑːre# | *#ɸˌin̪t͡seɡˈɑɾe# | *#ˌin̪s̪ˈɑɾ# | *#in̪θˈɑɾ# {GOLD: #in̪kˈɑɾ#}
206    | #fˌoe̯t̪ˈeːre# | *#fˌoe̯t̪ˈeːre# | *#ɸˌed̪ˈeɾe# | *#ˌed̪ˈeɾ# | *#ed̪ˈeɾ# {GOLD: #ed̪ˈeɾ#}
207    | #fˌoe̯t̪ibˈun̪d̪um# | *#fˌoe̯t̪ibˈun̪d̪um# | *#ɸˌed̪ebˈon̪d̪o# | *#ˌed̪bˈon̪d̪o# | *#ed̪bˈon̪d̪o# {GOLD: #ed̪jˈon̪d̪o#}
208    | #fˌokˈɑːkiɑ# | *#fˌokˈɑːkiɑ# | *#ɸˌoɡˈɑd͡zɑ# | *#ˌoɡˈɑs̪ɑ# | *#oɡˈɑθɑ# {GOLD: #oɡˈɑθɑ#}
209    | #fˌokˈɑːrem# | *#fˌokˈɑːrem# | *#ɸˌoɡˈɑɾe# | *#ˌoɡˈɑɾ# | *#oɡˈɑɾ# {GOLD: #oɡˈɑɾ#}
210    | #fˌokˈɑːriɑ# | *#fˌokˈɑːriɑ# | *#ɸˌoɡˈɑjɾɑ# | *#ˌoɡˈeɾɑ# | *#oɡˈeɾɑ# {GOLD: #oɡˈeɾɑ#}
211    | #fˌon̪t̪ˈɑːn̪ɑm# | *#fˌon̪t̪ˈɑːn̪ɑm# | *#ɸˌon̪t̪ˈɑn̪ɑ# | *#ˌon̪t̪ˈɑn̪ɑ# | *#on̪t̪ˈɑn̪ɑ# {GOLD: #on̪t̪ˈɑn̪ɑ#}
212    | #fˌoːrmˈɑːkeum# | *#fˌoːrmˈɑːkeum# | *#ɸˌoɾmˈɑd͡zo# | *#ˌoɾmˈɑs̪o# | *#oɾmˈɑθo# {GOLD: #oɾmˈɑθo#}
213    | #fˈoːrmɑ# | *#fˈoːrmɑ# | *#ɸˈoɾmɑ# | *#ˈoɾmɑ# | *#ˈoɾmɑ# {GOLD: #ˈoɾmɑ#}
214    | #fˌormˈiːkɑm# | *#fˌormˈiːkɑm# | *#ɸˌoɾmˈiɡɑ# | *#ˌoɾmˈiɡɑ# | *#oɾmˈiɡɑ# {GOLD: #oɾmˈiɡɑ#}
215    | #fˌormiːkˈɑːre# | *#fˌormiːkˈɑːre# | *#ɸˌoɾmiɡˈɑɾe# | *#ˌoɾɡˈɑɾ# | *#oɾɡˈɑɾ# {GOLD: #oɾmiɡˈɑɾ#}
216    | #fˌormiːkˈoːsum# | *#fˌormiːkˈoːsum# | *#ɸˌoɾmiɡˈozo# | *#ˌoɾɡˈoso# | *#oɾɡˈoso# {GOLD: #oɾmiɡˈoso#}
217    | #fˌoːrmˈoːsum# | *#fˌoːrmˈoːsum# | *#ɸˌoɾmˈozo# | *#ˌoɾmˈoso# | *#oɾmˈoso# {GOLD: #eɾmˈoso#}
218    | #fˌollikˈɑːre# | *#fˌollikˈɑːre# | *#ɸˌolleɡˈɑɾe# | *#ˌoʎɡˈɑɾ# | *#oʝɡˈɑɾ# {GOLD: #olɡˈɑɾ#}
219    | #fˌollˈikulum# | *#fˌollˈikulum# | *#ɸˌollˈeʎo# | *#ˌoʎˈeʃo# | *#oʝˈexo# {GOLD: #ʝˈexo#}
220    | #fˌorˈɑːmin̪em# | *#fˌorˈɑːmin̪em# | *#ɸˌoɾˈɑmen̪e# | *#ˌoɾˈɑmbɾe# | *#oɾˈɑmbɾe# {GOLD: #oɾˈɑmbɾe#}
221    | #fˌorˈɑn̪eum# | *#fˌorˈɑn̪eum# | *#ɸˌoɾˈɑɲo# | *#ˌoɾˈɑɲo# | *#oɾˈɑɲo# {GOLD: #uɾˈɑɲo#}
222    | #fˌorˈɑːt̪um# | *#fˌorˈɑːt̪um# | *#ɸˌoɾˈɑd̪o# | *#ˌoɾˈɑd̪o# | *#oɾˈɑd̪o# {GOLD: #oɾˈɑd̪o#}
223    | #fˌuɡˈiːre# | *#fˌuɡˈiːre# | *#ɸˌoˈiɾe# | *#ˌoˈiɾ# | *#oˈiɾ# {GOLD: #uˈiɾ#}
224    | #fˌullˈɑːre# | *#fˌullˈɑːre# | *#ɸˌollˈɑɾe# | *#ˌoʎˈɑɾ# | *#oʝˈɑɾ# {GOLD: #oʎˈɑɾ#}
225    | #fˌullˈiːɡin̪em# | *#fˌullˈiːɡin̪em# | *#ɸˌollˈijn̪e# | *#ˌoʎˈin̪# | *#oʝˈin̪# {GOLD: #oʝˈin̪#}
226    | #fˌust̪iːɡˈɑːre# | *#fˌust̪iːɡˈɑːre# | *#ɸˌos̪t̪jˈɑɾe# | *#ˌust̪jˈɑɾ# | *#ust̪jˈɑɾ# {GOLD: #ost̪iɡˈɑɾ#}
227    | #fˌuːmˈɑːre# | *#fˌuːmˈɑːre# | *#ɸˌumˈɑɾe# | *#ˌumˈɑɾ# | *#umˈɑɾ# {GOLD: #umˈɑɾ#}
228    | #fˌuːmˈɑːt̪ɑ# | *#fˌuːmˈɑːt̪ɑ# | *#ɸˌumˈɑd̪ɑ# | *#ˌumˈɑd̪ɑ# | *#umˈɑd̪ɑ# {GOLD: #umˈɑd̪ɑ#}
229    | #fˌuːmiɡˈɑːre# | *#fˌuːmiɡˈɑːre# | *#ɸˌumjˈɑɾe# | *#ˌumjˈɑɾ# | *#umjˈɑɾ# {GOLD: #umeˈɑɾ#}
230    | #fˌuːmˈoːsum# | *#fˌuːmˈoːsum# | *#ɸˌumˈozo# | *#ˌumˈoso# | *#umˈoso# {GOLD: #umˈoso#}
231    | #fˌuːrikˈɑːre# | *#fˌuːrikˈɑːre# | *#ɸˌuɾeɡˈɑɾe# | *#ˌuɾɡˈɑɾ# | *#uɾɡˈɑɾ# {GOLD: #uɾɡˈɑɾ#}
232    | #fˌɑbulˈɑːre# | *#fˌɑbulˈɑːre# | *#ɸˌɑbʎˈɑɾe# | *#ˌɑblˈɑɾ# | *#ɑblˈɑɾ# {GOLD: #ɑblˈɑɾ#}
233    | #fˌɑkt̪ˈiːkium# | *#fˌɑkt̪ˈiːkium# | *#ɸˌɑjt̪ˈid͡zo# | *#ˌet͡ʃˈis̪o# | *#et͡ʃˈiθo# {GOLD: #et͡ʃˈiθo#}
234    | #fˌɑkt̪ˈuːrɑ# | *#fˌɑkt̪ˈuːrɑ# | *#ɸˌɑjt̪ˈuɾɑ# | *#ˌet͡ʃˈuɾɑ# | *#et͡ʃˈuɾɑ# {GOLD: #et͡ʃˈuɾɑ#}
235    | #fˌɑlkˈiːn̪um# | *#fˌɑlkˈiːn̪um# | *#ɸˌɑwt͡sˈin̪o# | *#ˌos̪ˈin̪o# | *#oθˈin̪o# {GOLD: #oθˈin̪o#}
236    | #fˌɑmˈeːlikum# | *#fˌɑmˈeːlikum# | *#ɸˌɑmˈeleɡo# | *#ˌɑmˈelɡo# | *#ɑmˈelɡo# {GOLD: #xɑmˈelɡo#}
237    | #fˌɑriːn̪ˈɑːrium# | *#fˌɑriːn̪ˈɑːrium# | *#ɸˌɑɾn̪ˈɑjɾo# | *#ˌɑɾn̪ˈeɾo# | *#ɑɾn̪ˈeɾo# {GOLD: #ɑɾn̪ˈeɾo#}
238    | #fˌɑrˈiːn̪ɑ# | *#fˌɑrˈiːn̪ɑ# | *#ɸˌɑɾˈin̪ɑ# | *#ˌɑɾˈin̪ɑ# | *#ɑɾˈin̪ɑ# {GOLD: #ɑɾˈin̪ɑ#}
239    | #fˌɑrrˈɑːɡin̪em# | *#fˌɑrrˈɑːɡin̪em# | *#ɸˌɑrˈɑjn̪e# | *#ˌɑrˈen̪# | *#ɑrˈen̪# {GOLD: #erˈen̪#}
240    | #fˌɑskˈiːnɑm# | *#fˌɑskˈiːnɑm# | *#ɸˌɑst͡sˈinɑ# | *#ˌɑs̪ˈinɑ# | *#ɑθˈinɑ# {GOLD: #ɑθˈin̪ɑ#}
241    | #fˌɑst̪iːd̪iˈoːsum# | *#fˌɑst̪iːd̪iˈoːsum# | *#ɸˌɑs̪t̪jˈozo# | *#ˌɑst̪jˈoso# | *#ɑst̪jˈoso# {GOLD: #ɑst̪jˈoso#}
242    | #fˌɑst̪ˈiːd̪ium# | *#fˌɑst̪ˈiːd̪ium# | *#ɸˌɑs̪t̪ˈio# | *#ˌɑst̪ˈio# | *#ɑst̪ˈio# {GOLD: #ɑst̪ˈio#}
243    | #fˌɑst̪iːd̪iˈɑːre# | *#fˌɑst̪iːd̪iˈɑːre# | *#ɸˌɑs̪t̪jˈɑɾe# | *#ˌɑst̪jˈɑɾ# | *#ɑst̪jˈɑɾ# {GOLD: #ɑst̪jˈɑɾ#}
244    | #hˈed̪erɑ# | *#ˈed̪erɑ# | *#jˈed̪ɾɑ# | *#ʝˈed̪ɾɑ# | *#ʝˈed̪ɾɑ# {GOLD: #ʝˈed̪ɾɑ#}
245    | #hˈod̪ie# | *#ˈod̪ie# | *#ˈoj# | *#ˈoj# | *#ˈoj# {GOLD: #ˈoj#}
246    | #hˈomin̪em# | *#ˈomin̪em# | *#wˈemen̪e# | *#wˈembɾe# | *#wˈembɾe# {GOLD: #ˈombɾe#}
247    | #hˈort̪um# | *#ˈort̪um# | *#wˈeɾt̪o# | *#wˈeɾt̪o# | *#wˈeɾt̪o# {GOLD: #wˈeɾt̪o#}
248    | #hˈospit̪em# | *#ˈospit̪em# | *#wˈesped̪e# | *#wˈest̪e# | *#wˈest̪e# {GOLD: #wˈesped̪#}
249    | #hˈost̪em# | *#ˈost̪em# | *#wˈes̪t̪e# | *#wˈest̪e# | *#wˈest̪e# {GOLD: #wˈest̪e#}
250    | #hˈoːrɑm# | *#ˈoːrɑm# | *#ˈoɾɑ# | *#ˈoɾɑ# | *#ˈoɾɑ# {GOLD: #ˈoɾɑ#}
251    | #hˈumerum# | *#ˈumerum# | *#ˈomɾo# | *#ˈombɾo# | *#ˈombɾo# {GOLD: #ˈombɾo#}
252    | #hˈɑbui# | *#ˈɑbui# | *#ˈɑbwe# | *#ˈɑbwe# | *#ˈɑbwe# {GOLD: #ˈobe#}
253    | #hˌeːred̪it̪ˈɑːre# | *#ˌeːred̪it̪ˈɑːre# | *#ˌeɾeed̪ˈɑɾe# | *#ˌeɾed̪ˈɑɾ# | *#eɾed̪ˈɑɾ# {GOLD: #eɾed̪ˈɑɾ#}
254    | #hˌispˈɑn̪iɑ# | *#ˌispˈɑn̪iɑ# | *#ˌespˈɑɲɑ# | *#ˌespˈɑɲɑ# | *#espˈɑɲɑ# {GOLD: #espˈɑɲɑ#}
255    | #hˌon̪ˈoːrem# | *#ˌon̪ˈoːrem# | *#ˌon̪ˈoɾe# | *#ˌon̪ˈoɾ# | *#on̪ˈoɾ# {GOLD: #on̪ˈoɾ#}
256    | #hˌord̪ˈeolum# | *#ˌord̪ˈeolum# | *#ˌoɾt͡swˈelo# | *#ˌuɾs̪wˈelo# | *#uɾθwˈelo# {GOLD: #oɾθwˈelo#}
257    | #hˌospit̪ˈɑːlem# | *#ˌospit̪ˈɑːlem# | *#ˌosped̪ˈɑle# | *#ˌost̪ˈɑl# | *#ost̪ˈɑl# {GOLD: #ost̪ˈɑl#}
258    | #hˌɑmikˈeolum# | *#ˌɑmikˈeolum# | *#ˌɑmed͡zwˈelo# | *#ˌɑn̪s̪wˈelo# | *#ɑn̪θwˈelo# {GOLD: #ɑn̪θwˈelo#}
259    | #hˈerbɑm# | *#ˈerbɑm# | *#jˈeɾbɑ# | *#ʝˈeɾbɑ# | *#ʝˈeɾbɑ# {GOLD: #ʝˈeɾbɑ#}
260    | #jˈokum# | *#jˈokum# | *#jwˈeɡo# | *#ʃwˈeɡo# | *#xwˈeɡo# {GOLD: #xwˈeɡo#}
261    | #jˈowis# | *#jˈowis# | *#jwˈeves# | *#ʃwˈebes# | *#xwˈebes# {GOLD: #xwˈebes#}
262    | #jˈun̪kt̪um# | *#jˈuːn̪t̪um# | *#jˈun̪t̪o# | *#ʃˈun̪t̪o# | *#xˈun̪t̪o# {GOLD: #xˈun̪t̪o#}
263    | #jˈun̪kt̪ɑm# | *#jˈuːn̪t̪ɑm# | *#jˈun̪t̪ɑ# | *#ʃˈun̪t̪ɑ# | *#xˈun̪t̪ɑ# {GOLD: #xˈun̪t̪ɑ#}
264    | #jˈuːd̪ikem# | *#jˈuːd̪ikem# | *#jˈujd͡ze# | *#ʃwˈis̪# | *#xwˈiθ# {GOLD: #xwˈeθ#}
265    | #jˈuːn̪kum# | *#jˈuːn̪kum# | *#jˈun̪ko# | *#ʃˈun̪ko# | *#xˈun̪ko# {GOLD: #xˈun̪ko#}
266    | #hˈɑweɑm# | *#ˈɑweɑm# | *#ˈɑjɑ# | *#ˈɑʝɑ# | *#ˈɑʝɑ# {GOLD: #ˈɑʝɑ#}
267    | #jˈɑkt̪um# | *#jˈɑkt̪um# | *#jˈɑjt̪o# | *#ʝˈet͡ʃo# | *#ʝˈet͡ʃo# {GOLD: #ˈet͡ʃo#}
268    | #jˈɑm# | *#jˈɑm# | *#jˈɑn̪# | *#ʝˈɑn̪# | *#ʝˈɑn̪# {GOLD: #ʝˈɑ#}
269    | #jˌɑkˈeːre# | *#jˌɑkˈeːre# | *#jˌɑd͡zˈeɾe# | *#ʝˌɑs̪ˈeɾ# | *#ʝɑθˈeɾ# {GOLD: #ʝɑθˈeɾ#}
270    | #jˌɑːn̪uˈɑːrium# | *#jˌɑːn̪uˈɑːrium# | *#jˌɑwn̪ˈɑjɾo# | *#ʝˌon̪ˈeɾo# | *#ʝon̪ˈeɾo# {GOLD: #en̪ˈeɾo#}
271    | #jˈuɡum# | *#jˈuɡum# | *#jˈoɡo# | *#ʃˈoɡo# | *#xˈoɡo# {GOLD: #ʝˈuɡo#}
272    | #kˌerˈesiɑ# | *#kˌerˈesiɑ# | *#t͡sˌeɾˈejzɑ# | *#s̪ˌeɾˈesɑ# | *#θeɾˈesɑ# {GOLD: #θeɾˈeθɑ#}
273    | #klˈɑːwem# | *#klˈɑːwem# | *#kʎˈɑve# | *#ʎˈɑbe# | *#ʝˈɑbe# {GOLD: #ʝˈɑbe#}
274    | #klˈɑwsɑm# | *#klˈɑwsɑm# | *#kʎˈɑwzɑ# | *#ʎˈosɑ# | *#ʝˈosɑ# {GOLD: #ʝˈosɑ#}
